platform,video_id,video_url,video_title,comment_id,author,text,time,votes,heart,fetched_utc,text_clean,sentimen_rule
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",Ugzezm6wtfYl0oBYxuF4AaABAg,@BintangArahman-d6p,"Saya pernah d posisi itu, 😭😭moga laki2 yg selingkuh ada istriy moga doay terkabul... Gak bisa bangun slamay burungy",4 hari yang lalu,0,False,2025-12-20T09:26:03.365977+00:00,saya pernah d posisi itu moga laki2 yg selingkuh ada istriy moga doay terkabul gak bisa bangun slamay burungy,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgwyapzqNzvGSz7ucwN4AaABAg,@RudiHartono-fl4hq,"Apakah mungkin jika suami mau poligami yg sah secara agama islam tidak dimulai dari perselingkuhan, termasuk selingkuh hati, pikiran, dan mata?
Apa mungkin suami mau menikah lagi atau poligami tanpa melihat, tanpa memikirkan, dan tanpa meresapi perasaan ke calon pasangan poligaminya sehingga tidak bisa disebut selingkuh tapi murni poligami tanpa ada selingkuh  fisik, mata, hati dan pikiran dari istri sah dan suami mau menikah lagi hanya modal tau nama saja tau orang saja tanpa ada perasaan sama sekali sedangkan suami wajib memberi nafkah batin ke istri yg akan dipoligami, apakah berhubungan badan tanpa ada perasaan diantara pasangan dapat disebut nafka batin atau hanya nafsu birahi saja.",4 hari yang lalu (diedit),0,False,2025-12-20T09:26:03.679202+00:00,apakah mungkin jika suami mau poligami yg sah secara agama islam tidak dimulai dari perselingkuhan termasuk selingkuh hati pikiran dan mata apa mungkin suami mau menikah lagi atau poligami tanpa melihat tanpa memikirkan dan tanpa meresapi perasaan ke calon pasangan poligaminya sehingga tidak bisa disebut selingkuh tapi murni poligami tanpa ada selingkuh fisik mata hati dan pikiran dari istri sah dan suami mau menikah lagi hanya modal tau nama saja tau orang saja tanpa ada perasaan sama sekali sedangkan suami wajib memberi nafkah batin ke istri yg akan dipoligami apakah berhubungan badan tanpa ada perasaan diantara pasangan dapat disebut nafka batin atau hanya nafsu birahi saja,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT57IrqHYF,@arifahnur_575,Jangan jangan akun pelakornya ni mangkannya kga demen😂,2 bulan yang lalu,"1,9 rb",False,2025-12-20T09:26:04.924488+00:00,jangan jangan akun pelakornya ni mangkannya kga demen,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT5GsfUuyK,@Firmansyah-xw2zn,Ini paling keluarga laki nya atau pelakor nya haha,2 bulan yang lalu,710,False,2025-12-20T09:26:06.248752+00:00,ini paling keluarga laki nya atau pelakor nya haha,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT5MWZiP53,@dianaselasih9914,ini palingg mantan suami nih atau g pelakorrr😂,2 bulan yang lalu,340,False,2025-12-20T09:26:06.611054+00:00,ini palingg mantan suami nih atau g pelakorrr,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT8uXs3v0P,@PaopaoRiin,​ @ahmaddanidalimunthe915 sprti nya slh 1 pelakor si putri hahaha,2 bulan yang lalu,0,False,2025-12-20T09:26:06.969164+00:00,ahmaddanidalimunthe915 sprti nya slh 1 pelakor si putri hahaha,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTYhl-kOfE,@niva1002,@ahmaddanidalimunthe915 keluarganya si pelakor itu wkwkwk,2 bulan yang lalu,0,False,2025-12-20T09:26:07.236740+00:00,ahmaddanidalimunthe915 keluarganya si pelakor itu wkwkwk,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTBZ2eZx9e,@GHANYGarden,​ @ameliaarst pasti itu sesama pelakor atau adeknya pelakornya kak😁,2 bulan yang lalu,0,False,2025-12-20T09:26:07.538515+00:00,ameliaarst pasti itu sesama pelakor atau adeknya pelakornya kak,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANU1V5n7xQu,@richiv6681,​​ @ameliaarst apa mungkin ini keluarga pelakor itu ya???,2 bulan yang lalu (diedit),0,False,2025-12-20T09:26:07.813772+00:00,ameliaarst apa mungkin ini keluarga pelakor itu ya,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT6UWrH6lU,@asapp378,Mungkin keluarga pelakor nih,2 bulan yang lalu,34,False,2025-12-20T09:26:08.958292+00:00,mungkin keluarga pelakor nih,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT6O0-FNzE,@rinirahma1527,Pasti pihak dr pelakor 😅,2 bulan yang lalu,81,False,2025-12-20T09:26:10.297132+00:00,pasti pihak dr pelakor,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT7KpxRU97,@sammyvino06,"Lah, ini yang suka selingkuh jangan2 wkwkwkwk",2 bulan yang lalu,18,False,2025-12-20T09:26:10.614086+00:00,lah ini yang suka selingkuh jangan2 wkwkwkwk,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT5VYFY78K,@sahaboa816,"Klo g sodra pelakor nya,tmnya yg dukung,atau sma” pelakor juga ini yg komen",2 bulan yang lalu,180,False,2025-12-20T09:26:10.962577+00:00,klo g sodra pelakor nya tmnya yg dukung atau sma pelakor juga ini yg komen,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT6If9gmXF,@elsanovarahmawati4153,Jangan-jangan antek-antek selingkuhannya nih😂,2 bulan yang lalu,70,False,2025-12-20T09:26:11.286123+00:00,jangan jangan antek antek selingkuhannya nih,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT7TAxHppS,@bbylenn_5,ini sodara pelakor yaa? bernau bgtt komen kek gini😂,2 bulan yang lalu,12,False,2025-12-20T09:26:11.582582+00:00,ini sodara pelakor yaa bernau bgtt komen kek gini,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT8BInuvKW,@viralvideos1070,"si pelakor trsinggung jg nih, wkwkwk 🤣",2 bulan yang lalu,11,False,2025-12-20T09:26:12.850066+00:00,si pelakor trsinggung jg nih wkwkwk,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT7QkbPB6N,@ErosYadi-l3u,"Ya penting lah biar ada gambaran orang tolil suka selingkuh ,penonyon baru kayaknya,apa buzzzer😂",2 bulan yang lalu,9,False,2025-12-20T09:26:13.199605+00:00,ya penting lah biar ada gambaran orang tolil suka selingkuh penonyon baru kayaknya apa buzzzer,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT8HzHQdCM,@miaballa9055,Wah konco” nya si pelakor ini 😂😂😂,2 bulan yang lalu,7,False,2025-12-20T09:26:14.132295+00:00,wah konco nya si pelakor ini,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT8KFSqluW,@gilanggumati3945,Kayaknya yg komen ini sejenis sama si pelakor atau tukang selingkuhnya.. makanya dia gak suka. 😂😂😂,2 bulan yang lalu,7,False,2025-12-20T09:26:14.414310+00:00,kayaknya yg komen ini sejenis sama si pelakor atau tukang selingkuhnya makanya dia gak suka,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT8k_Z2Wi9,@adhytbolder,PELAKOR KAH? 😂😂😂😂😂,2 bulan yang lalu,6,False,2025-12-20T09:26:15.523254+00:00,pelakor kah,negatif
